cid,w_start,w_end,active_days,n_rows,days_with_readings
12461,2020-02-05 17:06:50.571,2024-04-30 07:40:59.945,1547,1884,1264
10105,2020-01-01 02:45:18.963,2024-04-30 10:27:03.305,1582,2023,1544
7945,2020-01-01 01:47:03.113,2024-04-29 20:58:07.187,1581,2149,1538
3151,2020-01-01 08:03:20.508,2024-04-30 11:57:36.184,1582,1690,1376
9643,2020-01-01 02:02:18.439,2024-04-30 00:41:24.922,1582,3088,1580
12590,2020-01-02 00:21:32.526,2024-04-29 17:17:48.374,1580,2345,1364
10198,2020-01-01 02:12:47.964,2024-04-30 12:50:28.566,1582,2401,1556
10077,2024-01-22 09:41:41.249,2024-04-29 19:58:46.280,99,2331,99
6046,2020-02-05 17:11:15.213,2024-04-30 11:39:14.415,1547,2930,1337
11789,2020-01-01 00:27:10.588,2024-04-29 18:17:32.132,1581,2280,1564
9787,2023-06-20 08:47:41.490,2024-04-30 02:30:44.852,316,7642,316
3419,2020-02-05 17:06:44.249,2024-04-29 20:21:52.227,1546,2217,1503
6227,2020-01-01 14:04:48.105,2024-04-30 08:18:48.301,1582,1655,1233
5815,2020-01-01 12:00:10.667,2024-04-29 16:05:42.398,1581,2151,1360
10165,2020-01-01 17:10:27.735,2024-04-30 01:58:18.568,1582,2425,1552
12291,2020-09-18 08:53:22.647,2024-04-30 07:57:36.091,1321,2160,1308
11799,2023-06-16 14:28:52.029,2024-04-30 05:38:36.552,320,7801,320
10166,2024-01-22 11:38:32.774,2024-04-30 12:50:22.089,100,2365,100
20794,2023-11-18 06:02:38.462,2024-04-30 10:25:10.362,165,3942,165
11808,2020-03-04 17:09:49.370,2024-04-29 16:41:55.324,1518,1771,1267
10095,2024-01-22 13:16:56.567,2024-04-30 05:46:21.063,100,2329,100
10171,2020-01-01 14:42:29.870,2024-04-30 03:14:21.131,1582,2056,1574
18689,2020-01-02 20:48:03.946,2024-04-30 10:04:31.130,1581,2747,1325
2321,2020-02-05 17:14:06.561,2024-04-30 08:35:22.565,1547,3138,1509
11844,2020-01-01 02:49:45.404,2024-04-29 19:37:46.306,1581,2000,1520
11555,2020-01-01 09:33:58.282,2024-04-30 08:22:16.199,1582,2370,1563
12459,2020-02-05 17:06:15.557,2024-04-30 12:36:59.704,1547,2342,1300
10188,2020-01-08 21:41:03.315,2024-04-30 11:23:40.829,1575,1770,948
7361,2023-06-14 08:02:22.915,2024-04-30 09:17:16.870,322,8044,322
24584,2020-02-05 17:13:03.722,2024-04-30 12:09:18.302,1547,2124,1224
10150,2020-01-01 06:16:27.412,2024-04-29 14:35:46.038,1581,2482,1576
17908,2021-05-05 17:07:06.083,2024-04-29 21:17:11.150,1091,2025,1063
13579,2020-01-01 08:24:12.652,2024-04-30 11:27:41.243,1582,2891,1417
